state,substate,state_fips,county_fips,geography,closing_of_public_venues,gathering_size_10_0,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_500_to_101,lockdown,non-essential_services_closure,Other,religious_gatherings_banned,school_closure,shelter_in_place,social_distancing,nyt_effective_date,crwd_business_closed,crwd_college_closed,crwd_lockdown,crwd_religion_closed,crwd_school_closed,hikma_event_date,hikma_school_date,hikma_shelter_date,hikma_shelter_enforcement_date,hikma_testing_date,hikma_transport_date,hikma_work_date,effective_date_sip,source_sip,effective_date_business,source_business
Texas,Tarrant,48,48439,county,03/24,03/24,NA,NA,NA,NA,03/24,NA,03/24,03/16,03/24,03/13,03/24,03/24,03/20,03/24,04/02,03/16,03/24,03/24,03/24,03/24,03/31,NA,03/24,03/24,nyt,03/24,keystone_cpv
Texas,Travis,48,48453,county,03/24,03/21,NA,NA,03/14,NA,03/24,NA,03/24,03/13,NA,03/24,03/24,03/13,03/13,03/24,03/17,03/18,03/24,03/06,03/24,03/24,NA,NA,03/24,03/24,nyt,03/24,keystone_cpv
Texas,Webb,48,48479,county,03/23,03/23,03/16,NA,NA,NA,03/27,NA,03/23,NA,03/27,03/16,NA,NA,NA,NA,NA,NA,04/02,03/30,03/28,04/02,04/16,NA,03/28,03/27,keystone_sip,03/23,keystone_cpv
Texas,NA,48,NA,state,03/20,03/20,03/20,NA,NA,NA,04/02,NA,NA,03/20,NA,03/20,04/02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/02,nyt,03/20,keystone_cpv
Utah,Davis,49,49011,county,03/18,03/18,NA,NA,NA,NA,04/01,NA,NA,03/13,04/01,03/18,04/01,NA,NA,NA,NA,NA,03/17,03/13,04/01,NA,03/16,NA,04/01,04/01,nyt,03/18,keystone_cpv
Utah,Salt Lake,49,49035,county,03/16,03/19,03/16,NA,NA,NA,03/29,NA,03/29,NA,03/30,03/16,03/30,03/13,03/13,03/13,03/13,03/13,03/16,03/06,03/10,NA,NA,NA,03/16,03/30,nyt,03/16,keystone_cpv
Utah,Summit,49,49043,county,03/25,NA,NA,NA,NA,NA,03/25,NA,03/25,03/25,03/25,03/25,03/27,03/15,03/13,03/25,03/12,03/14,03/27,03/16,03/27,03/27,04/02,NA,03/27,03/27,nyt,03/25,keystone_cpv
Utah,Utah,49,49049,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,NA,NA,03/14,NA,03/12,03/14,03/12,03/16,03/27,NA,04/02,NA,03/30,03/27,hikma_shelter,03/30,hikma_work
Utah,NA,49,NA,state,03/18,03/18,NA,NA,NA,NA,NA,NA,NA,03/16,03/27,03/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,keystone_cpv
Vermont,Chittenden,50,50007,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/16,03/25,03/14,03/18,03/13,03/18,03/28,NA,NA,NA,03/24,03/25,crwd_lockdown,03/25,crwd_business
Vermont,NA,50,NA,state,03/24,03/21,03/16,NA,03/13,NA,03/24,NA,03/24,03/18,03/24,03/24,03/25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,nyt,03/24,keystone_cpv
Virginia,Arlington,51,51013,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/09,03/30,03/16,03/14,03/17,03/13,03/30,NA,03/18,NA,03/24,03/30,crwd_lockdown,03/24,crwd_business
Virginia,Chesterfield,51,51041,county,03/30,NA,NA,NA,NA,NA,NA,NA,NA,03/17,NA,03/25,NA,03/24,03/16,03/24,03/24,03/24,03/24,03/16,03/24,03/24,04/16,NA,03/24,03/24,crwd_lockdown,03/30,keystone_cpv
Virginia,Fairfax,51,51059,county,03/27,NA,03/18,NA,NA,NA,03/27,NA,03/18,03/18,03/30,03/30,NA,03/24,03/13,03/30,03/13,03/13,03/18,03/23,03/30,NA,NA,04/11,03/23,03/30,keystone_sip,03/27,keystone_cpv
Virginia,Henrico,51,51087,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/24,03/24,03/23,03/23,03/23,NA,03/23,03/30,NA,04/24,NA,03/24,03/23,crwd_lockdown,03/24,crwd_business
Virginia,James City,51,51095,county,04/13,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/24,03/13,03/30,03/30,03/23,NA,NA,NA,NA,NA,NA,NA,03/30,crwd_lockdown,04/13,keystone_cpv
Virginia,Loudoun,51,51107,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,NA,NA,NA,03/24,03/11,03/30,03/14,03/12,03/14,03/12,03/16,03/24,03/23,03/17,03/24,03/30,crwd_lockdown,03/24,crwd_business
Virginia,Prince William,51,51153,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,03/24,03/24,03/23,03/23,03/13,03/30,03/23,03/24,NA,03/24,03/24,crwd_lockdown,03/24,crwd_business
Virginia,Richmond City,51,51760,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,03/20,03/20,03/20,04/30,03/24,03/16,03/30,03/30,NA,NA,03/24,03/20,crwd_lockdown,03/20,crwd_business
Virginia,Virginia Beach,51,51810,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/24,03/30,03/23,03/24,NA,NA,NA,NA,NA,NA,NA,03/30,crwd_lockdown,03/23,crwd_business
Virginia,NA,51,NA,state,03/24,03/17,03/15,NA,NA,NA,03/24,NA,03/24,03/13,03/30,03/24,03/30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,nyt,03/24,keystone_cpv
Washington,Benton,53,53005,county,03/23,NA,NA,NA,NA,NA,03/23,NA,NA,NA,NA,03/23,NA,03/25,03/23,03/25,03/29,03/16,03/13,03/13,03/23,NA,NA,NA,03/16,03/25,crwd_lockdown,03/23,keystone_cpv
Washington,Clark,53,53011,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,NA,NA,NA,03/25,03/25,03/25,03/29,03/16,03/23,03/13,03/23,NA,NA,NA,03/23,03/25,crwd_lockdown,03/25,crwd_business
Washington,King,53,53033,county,03/16,NA,03/16,NA,03/11,NA,03/16,NA,03/16,03/12,03/25,03/11,NA,03/23,03/06,03/23,03/11,03/13,03/23,03/23,03/02,NA,03/19,NA,03/23,03/25,keystone_sip,03/16,keystone_cpv
Washington,Kitsap,53,53035,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/16,03/25,03/06,03/16,03/15,03/17,03/23,03/23,NA,NA,03/23,03/25,crwd_lockdown,03/25,crwd_business
Washington,Pierce,53,53053,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/19,03/23,03/11,03/17,04/12,03/12,03/24,NA,03/20,NA,03/24,03/23,crwd_lockdown,03/23,crwd_business
Washington,Snohomish,53,53061,county,03/24,03/24,NA,NA,NA,NA,03/24,NA,NA,NA,03/24,03/24,NA,03/23,03/06,03/22,03/15,03/17,03/11,03/13,04/02,03/23,03/23,NA,04/02,03/24,keystone_sip,03/24,keystone_cpv
Washington,Spokane,53,53063,county,03/20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,NA,NA,NA,NA,NA,NA,03/13,03/17,03/23,NA,03/23,NA,03/23,03/23,hikma_shelter,03/20,keystone_cpv
Washington,Whatcom,53,53073,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,NA,NA,NA,03/25,03/11,03/23,03/11,03/14,03/23,03/17,03/23,NA,04/03,NA,03/26,03/23,crwd_lockdown,03/25,crwd_business
Washington,Yakima,53,53077,county,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/23,03/23,NA,NA,NA,NA,NA,NA,03/20,03/13,03/13,03/13,03/27,NA,03/20,03/23,keystone_sip,03/20,hikma_work
