state,substate,state_fips,county_fips,geography,closing_of_public_venues,gathering_size_10_0,gathering_size_100_to_26,gathering_size_25_to_11,gathering_size_500_to_101,lockdown,non-essential_services_closure,Other,religious_gatherings_banned,school_closure,shelter_in_place,social_distancing,nyt_effective_date,crwd_business_closed,crwd_college_closed,crwd_lockdown,crwd_religion_closed,crwd_school_closed,hikma_event_date,hikma_school_date,hikma_shelter_date,hikma_shelter_enforcement_date,hikma_testing_date,hikma_transport_date,hikma_work_date,effective_date_sip,source_sip,effective_date_business,source_business
NA,NA,51,51177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/23,03/23,03/23,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,crwd_business
NA,NA,51,51790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/11,03/30,03/17,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/23,03/23,03/23,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,crwd_business
NA,NA,51,51820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/24,03/30,03/23,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,51,51197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/23,03/23,03/23,03/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,crwd_business
NA,NA,50,50001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/21,03/25,03/21,03/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,crwd_business
NA,NA,50,50003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/14,03/24,03/18,03/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,crwd_business
NA,NA,50,50017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/14,03/24,03/20,03/18,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,crwd_business
NA,NA,50,50027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/14,03/25,03/13,03/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,crwd_business
NA,NA,53,53067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/25,03/25,03/15,03/16,03/23,03/13,03/23,03/23,04/06,NA,03/23,NA,NA,03/25,crwd_business
NA,NA,54,54025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,NA,03/24,03/22,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,54,54029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/12,03/24,03/22,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,54,54061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/19,03/24,03/29,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,54,54069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/24,03/24,03/22,03/16,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,54,54075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,03/24,03/22,03/14,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,crwd_business
NA,NA,56,56013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/19,03/16,03/21,03/16,03/15,04/01,04/01,04/01,NA,NA,NA,04/01,NA,NA,03/19,crwd_business
NA,NA,01,01015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,03/16,04/03,NA,03/18,NA,04/30,NA,NA,04/30,hikma_work
NA,NA,01,01045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/04,04/06,04/04,04/04,04/28,NA,03/27,NA,NA,03/27,hikma_work
NA,NA,01,01055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,03/18,04/03,NA,NA,NA,04/30,NA,NA,04/30,hikma_work
NA,NA,01,01069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,03/18,04/03,NA,04/16,NA,04/30,NA,NA,04/30,hikma_work
NA,NA,01,01083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/04,03/16,04/04,NA,NA,NA,04/30,NA,NA,04/30,hikma_work
NA,NA,01,01103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/04,03/17,04/03,NA,04/15,NA,04/30,NA,NA,04/30,hikma_work
NA,NA,12,12003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/19,04/18,03/19,NA,NA,NA,04/03,NA,NA,04/03,hikma_work
NA,NA,12,12005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,04/13,04/03,NA,NA,NA,04/03,NA,NA,04/03,hikma_work
NA,NA,12,12017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/17,04/02,NA,NA,NA,04/02,NA,NA,04/02,hikma_work
NA,NA,12,12019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,04/03,NA,05/04,NA,04/03,NA,NA,04/03,hikma_work
NA,NA,12,12061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/11,03/13,04/01,NA,03/20,NA,04/03,NA,NA,04/03,hikma_work
NA,NA,12,12083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/27,NA,03/18,NA,03/26,NA,NA,03/26,hikma_work
NA,NA,12,12085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/13,NA,NA,NA,NA,04/03,NA,NA,04/03,hikma_work
NA,NA,12,12111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/13,03/23,NA,NA,NA,03/23,NA,NA,03/23,hikma_work
NA,NA,12,12113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/23,04/01,NA,NA,NA,03/23,NA,NA,03/23,hikma_work
NA,NA,12,12119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/01,03/13,04/01,NA,NA,NA,04/01,NA,NA,04/01,hikma_work
NA,NA,13,13021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/19,04/16,03/13,NA,04/16,NA,04/13,NA,NA,04/13,hikma_work
NA,NA,13,13031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,03/19,03/20,05/05,NA,NA,05/04,NA,NA,05/04,hikma_work
NA,NA,13,13073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/14,03/14,03/14,04/01,03/24,03/15,05/01,NA,NA,05/01,hikma_work
NA,NA,13,13077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/14,03/13,03/14,NA,04/24,NA,03/14,NA,NA,03/14,hikma_work
NA,NA,13,13117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,03/12,03/27,03/27,03/20,NA,03/27,NA,NA,03/27,hikma_work
NA,NA,13,13127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/13,03/13,NA,04/23,NA,NA,NA,NA,03/13,effective_date_sip
NA,NA,13,13153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/14,04/06,03/14,NA,NA,NA,03/14,NA,NA,03/14,hikma_work
NA,NA,13,13157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,03/13,03/18,NA,05/04,NA,05/04,NA,NA,05/04,hikma_work
NA,NA,13,13223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,03/17,03/26,NA,NA,NA,03/26,NA,NA,03/26,hikma_work
NA,NA,15,15007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,03/24,03/25,03/25,NA,NA,03/25,NA,NA,03/25,hikma_work
NA,NA,16,16005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/17,05/01,03/31,03/20,NA,05/01,NA,NA,05/01,hikma_work
NA,NA,16,16011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/23,05/01,NA,NA,NA,05/01,NA,NA,05/01,hikma_work
NA,NA,16,16017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/25,05/01,NA,04/14,NA,05/01,NA,NA,05/01,hikma_work
NA,NA,16,16019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/16,05/01,NA,04/03,03/31,05/01,NA,NA,05/01,hikma_work
NA,NA,16,16055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/15,03/16,03/25,04/07,03/03,NA,03/25,NA,NA,03/25,hikma_work
NA,NA,16,16083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/16,05/01,NA,03/26,NA,05/01,NA,NA,05/01,hikma_work
NA,NA,17,17201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/20,03/20,03/20,03/20,NA,NA,03/20,NA,NA,03/20,hikma_work
NA,NA,18,18039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,05/14,03/25,04/01,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,18,18163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,03/24,04/06,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,21,21117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/19,03/16,03/18,NA,04/15,NA,03/23,NA,NA,03/23,hikma_work
NA,NA,22,22063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/16,03/23,NA,03/31,NA,03/23,NA,NA,03/23,hikma_work
NA,NA,22,22097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/16,03/23,NA,03/25,NA,03/23,NA,NA,03/23,hikma_work
NA,NA,23,23001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/31,NA,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,23,23003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/31,NA,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,23,23009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/31,NA,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,23,23011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/31,NA,03/20,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,23,23013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/31,NA,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,23,23017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/31,NA,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,23,23019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/31,NA,03/20,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,23,23023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/31,NA,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,23,23025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/31,NA,04/12,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,23,23027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/31,NA,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,24,24025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/30,03/13,03/30,03/30,03/03,NA,03/23,NA,NA,03/23,hikma_work
NA,NA,26,26077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/13,03/16,03/24,03/24,04/17,04/02,03/24,NA,NA,03/24,hikma_work
NA,NA,26,26139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/23,03/16,03/23,03/26,NA,NA,03/23,NA,NA,03/23,hikma_work
NA,NA,27,27007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/18,03/16,03/16,03/16,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/18,03/16,03/16,NA,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/16,03/16,03/16,03/16,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/16,03/16,03/16,03/16,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/18,03/16,03/16,NA,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/18,03/16,03/16,03/16,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/18,03/16,03/16,03/16,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/18,03/16,03/16,03/16,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/18,03/16,03/16,03/16,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/18,03/16,03/16,03/16,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/16,03/16,03/16,03/20,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/15,03/15,03/23,NA,NA,NA,03/23,NA,NA,03/23,hikma_work
NA,NA,27,27141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/16,03/16,03/16,03/16,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/18,03/16,03/16,03/30,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/18,03/16,03/16,03/16,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,27,27171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/16,03/16,03/16,03/16,03/16,NA,03/16,NA,NA,03/16,hikma_work
NA,NA,28,28035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,03/16,04/03,04/03,NA,NA,05/01,NA,NA,05/01,hikma_work
NA,NA,28,28047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/17,03/19,03/17,NA,04/25,NA,03/17,NA,NA,03/17,hikma_work
NA,NA,28,28067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/26,03/19,04/03,04/03,NA,NA,03/26,NA,NA,03/26,hikma_work
NA,NA,28,28073,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,03/16,04/03,04/03,NA,NA,05/01,NA,NA,05/01,hikma_work
NA,NA,28,28087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,03/24,NA,04/21,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,28,28089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,03/14,04/03,NA,NA,NA,03/20,NA,NA,03/20,hikma_work
NA,NA,28,28099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/01,03/14,04/01,NA,03/18,NA,04/01,NA,NA,04/01,hikma_work
NA,NA,28,28109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/03,03/16,04/03,NA,NA,NA,05/04,NA,NA,05/04,hikma_work
NA,NA,28,28121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/24,03/16,04/03,NA,NA,NA,04/01,NA,NA,04/01,hikma_work
NA,NA,30,30111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/28,03/17,03/28,03/28,03/31,NA,03/17,NA,NA,03/17,hikma_work
NA,NA,31,31153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/31,03/19,03/31,NA,NA,NA,03/31,NA,NA,03/31,hikma_work
NA,NA,32,32005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/25,03/12,03/25,03/25,03/05,NA,03/12,NA,NA,03/12,hikma_work
NA,NA,32,32023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,04/08,03/15,04/08,NA,04/18,NA,NA,NA,NA,04/08,effective_date_sip
NA,NA,35,35003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/19,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/19,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/20,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/18,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/23,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,04/03,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/16,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/24,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/19,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/19,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/19,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/30,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35055,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/19,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,NA,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/19,NA,03/24,NA,NA,03/24,hikma_work
NA,NA,35,35061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,03/12,03/16,03/19,03/19,03/30,NA,03/24,NA,NA,03/24,hikma_work
